name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.applicants\` has a foreign key \`applicants_interested_course_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""applicants"",""type"":""table"",""schema"":""public"",""fkey_name"":""applicants_interested_course_id_fkey"",""fkey_columns"":[16]}",unindexed_foreign_keys_public_applicants_applicants_interested_course_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.application_logs\` has a foreign key \`application_logs_applicant_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""application_logs"",""type"":""table"",""schema"":""public"",""fkey_name"":""application_logs_applicant_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_application_logs_application_logs_applicant_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.confirmed_participations\` has a foreign key \`confirmed_participations_confirmed_course_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""confirmed_participations"",""type"":""table"",""schema"":""public"",""fkey_name"":""confirmed_participations_confirmed_course_id_fkey"",""fkey_columns"":[4]}",unindexed_foreign_keys_public_confirmed_participations_confirmed_participations_confirmed_course_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.user_roles\` has a foreign key \`user_roles_assigned_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""user_roles"",""type"":""table"",""schema"":""public"",""fkey_name"":""user_roles_assigned_by_fkey"",""fkey_columns"":[5]}",unindexed_foreign_keys_public_user_roles_user_roles_assigned_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.users\` has a foreign key \`users_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""users"",""type"":""table"",""schema"":""public"",""fkey_name"":""users_created_by_fkey"",""fkey_columns"":[9]}",unindexed_foreign_keys_public_users_users_created_by_fkey
no_primary_key,No Primary Key,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if a table does not have a primary key. Tables without a primary key can be inefficient to interact with at scale.,Table \`public.applicants_backup\` does not have a primary key,https://supabase.com/docs/guides/database/database-linter?lint=0004_no_primary_key,"{""name"":""applicants_backup"",""type"":""table"",""schema"":""public""}",no_primary_key_public_applicants_backup
no_primary_key,No Primary Key,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if a table does not have a primary key. Tables without a primary key can be inefficient to interact with at scale.,Table \`public.open_campus_dates_backup\` does not have a primary key,https://supabase.com/docs/guides/database/database-linter?lint=0004_no_primary_key,"{""name"":""open_campus_dates_backup"",""type"":""table"",""schema"":""public""}",no_primary_key_public_open_campus_dates_backup
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_applicants_email\` on table \`public.applicants\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""applicants"",""type"":""table"",""schema"":""public""}",unused_index_public_applicants_idx_applicants_email
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_applicants_token\` on table \`public.applicants\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""applicants"",""type"":""table"",""schema"":""public""}",unused_index_public_applicants_idx_applicants_token
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_applicants_line_user_id\` on table \`public.applicants\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""applicants"",""type"":""table"",""schema"":""public""}",unused_index_public_applicants_idx_applicants_line_user_id
